RC	22	e-B	NA	\qitem{Der Tutor der Studentin, die überschäumend gute Laune hatte, hatte die Regelstudienzeit schon langen überschritten.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Studentin gut gelaunt war?}	1	1
filler	7	-	N	\qitem{Dass man sich bei Hans und Sophie entschuldigt, nachdem man ihnen den Parkplatz weggenommen hat, hilft nicht.}{Wurde hier gesagt oder möglicherweise gemeint, dass Hans und Sophie einen Parkplatzdiebstahl sofort vergeben?}	2	2
RC	36	d-B	NA	\qitem{Der Visagist des Bürgermeisters, der beeindruckend viel Ehrgeiz hatte, schrieb Gedichte.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Bürgermeister ehrgeizig war?}	1	1
RC	23	e-A	NA	\qitem{Der Steuerberater der Psychologin, die beschämend vernachlässigte Zähne hatte, hat eine Stauballergie.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Steuerberater gelbe Zähne hatte?}	2	2
RC	7	a-A	NA	\qitem{Die Konkurrentin der Sportlerin, die einen ungewöhnlichen Namen hatte, hat sich verletzt.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Konkurrentin komisch hiess?}	2	1
RC	8	f-B	NA	\qitem{Der Schneider der Geschäftsfrau, der sehr schwarzen Humor hatte, lachte viel.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Geschäftsfrau schwarzen Humor mochte?}	2	2
RC	2	c-B	NA	\qitem{Die Buchhalterin des Unternehmers, der viel goldenen Schmuck hat, hat momentan Urlaub.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Unternehmer viel Goldschmuck hat?}	1	1
filler	27	-	N	\qitem{Dem Rockstar, der ein Drogenproblem hatte, wurde ein Entzug verordnet.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Rockstar in nächster Zeit auftreten können wird?}	2	2
filler	69	-	Y	\qitem{Alfons, dem niemand zugetraut hätte vor Publikum aufzutreten, legte eine beeindruckende Show hin.}{Wurde hier gesagt oder möglicherweise gemeint, dass Alfons aufgetreten ist?}	1	1
filler	35	-	N	\qitem{Der Nachbar hat nie den Rasen gemäht, auch wenn der gar nicht gut aussieht.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Nachbar den Rasen gemäht hat?}	2	2
filler	21	-	Y	\qitem{Dem Anwalt, der die Minister, weil er keinen von ihnen mochte, verklagte, wurde die Zulassung entzogen.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Anwalt sich einen neuen Beruf suchen muss?}	1	1
RC	1	d-A	NA	\qitem{Der Bruder des Schneiders, der hübsche schwarze Locken hatte, hat sich verlobt.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Bruder lockige Haare hatte?}	1	1
filler	23	-	N	\qitem{Die Einhörner, die man sucht, obwohl man nie eines von ihnen gesehen hat, sollte man endlich in Ruhe lassen.}{Wurde hier gesagt oder möglicherweise gemeint, dass man Bären meist vergeblich sucht?}	2	2
filler	39	-	Y	\qitem{Ein Arzt, der keinem Patienten zuhört, ist immer schlecht.}{Wurde hier gesagt oder möglicherweise gemeint, dass ein zuhörender Arzt gut ist?}	1	1
RC	4	b-B	NA	\qitem{Die Kollegin des Detektiven, der einen großen Hund hatte, hatte öfter Probleme mit dem Finanzamt.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Detektiv einen großen Hund hatte?}	1	1
filler	63	-	Y	\qitem{Der Obdachlose, mit dem Martin sich gestern unterhalten hat, hat sehr interessante Geschichten erzählt.}{Wurde hier gesagt oder möglicherweise gemeint, dass Martin gut unterhalten wurde?}	1	1
RC	12	d-B	NA	\qitem{Der Schwiegersohn des Gitarristen, der einen ausgezeichneten Geschmack hatte, lachte eigentlich ständig.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Gitarrist einen guten Geschmack hatte?}	1	1
RC	34	e-B	NA	\qitem{Der Cousin der Schriftstellerin, die eine tragische Vergangenheit hatte, fährt einen BMW.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Schriftstellerin eine schlimme Vergangenheit hatte?}	1	1
